*******************************************************************************
Ephemeris / WWW_USER Tue Feb 19 21:46:06 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: New Horizons (spacecraft) (-98) {source: NH_merged}
Center body name: Earth (399)                     {source: NH_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Feb-20 19:15:00.0000 UT      
Stop  time      : A.D. 2019-Feb-21 07:15:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Pluto
Vis. interferer : MOON (R_eq= 1737.400) km        {source: NH_merged}
Rel. light bend : Sun, EARTH                      {source: NH_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190218.p190512                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-FEB-18. PREDICTS-> 2019-MAY-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Feb-20 19:15 *   19 13 17.09 -20 25 54.1 2.546202  0.423906 44.3849118621744  -6.4716602  44.4864 /L   0.9050
 2019-Feb-20 19:16 *   19 13 17.10 -20 25 54.1 2.546343  0.423924 44.3849092667206  -6.4714237  44.4871 /L   0.9050
 2019-Feb-20 19:17 *   19 13 17.10 -20 25 54.1 2.546484  0.423942 44.3849066713606  -6.4711933  44.4877 /L   0.9050
 2019-Feb-20 19:18 *   19 13 17.10 -20 25 54.1 2.546625  0.423959 44.3849040760916  -6.4709691  44.4884 /L   0.9050
 2019-Feb-20 19:19 *   19 13 17.11 -20 25 54.1 2.546767  0.423976 44.3849014809113  -6.4707512  44.4891 /L   0.9050
 2019-Feb-20 19:20 *   19 13 17.11 -20 25 54.1 2.546909  0.423993 44.3848988858172  -6.4705394  44.4898 /L   0.9050
 2019-Feb-20 19:21 *   19 13 17.11 -20 25 54.1 2.547051  0.424010 44.3848962908068  -6.4703339  44.4905 /L   0.9050
 2019-Feb-20 19:22 *   19 13 17.11 -20 25 54.1 2.547193  0.424026 44.3848936958775  -6.4701346  44.4911 /L   0.9050
 2019-Feb-20 19:23 *   19 13 17.12 -20 25 54.1 2.547335  0.424043 44.3848911010269  -6.4699416  44.4918 /L   0.9050
 2019-Feb-20 19:24 *   19 13 17.12 -20 25 54.1 2.547478  0.424059 44.3848885062525  -6.4697547  44.4925 /L   0.9051
 2019-Feb-20 19:25 *   19 13 17.12 -20 25 54.1 2.547621  0.424074 44.3848859115518  -6.4695742  44.4932 /L   0.9051
 2019-Feb-20 19:26 *   19 13 17.13 -20 25 54.1 2.547764  0.424090 44.3848833169222  -6.4693999  44.4939 /L   0.9051
