*******************************************************************************
Ephemeris / WWW_USER Tue Feb 19 21:47:29 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pioneer 11 (spacecraft) (-24)   {source: pioneer_11}
Center body name: Earth (399)                     {source: pioneer_11}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Feb-20 19:15:00.0000 UT      
Stop  time      : A.D. 2019-Feb-21 07:15:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: pioneer_11}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190218.p190512                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-FEB-18. PREDICTS-> 2019-MAY-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Feb-20 19:15 *   18 54 26.51 -08 49 57.4 1.051719  0.357917 100.787086310473  -9.8645585  49.2506 /L   0.4253
 2019-Feb-20 19:16 *   18 54 26.51 -08 49 57.4 1.051781  0.357922 100.787082354222  -9.8644007  49.2513 /L   0.4253
 2019-Feb-20 19:17 *   18 54 26.51 -08 49 57.4 1.051844  0.357927 100.787078398033  -9.8642497  49.2519 /L   0.4253
 2019-Feb-20 19:18 *   18 54 26.51 -08 49 57.4 1.051907  0.357931 100.787074441903  -9.8641053  49.2526 /L   0.4253
 2019-Feb-20 19:19 *   18 54 26.51 -08 49 57.4 1.051970  0.357936 100.787070485830  -9.8639676  49.2532 /L   0.4253
 2019-Feb-20 19:20 *   18 54 26.51 -08 49 57.4 1.052034  0.357940 100.787066529811  -9.8638367  49.2539 /L   0.4253
 2019-Feb-20 19:21 *   18 54 26.51 -08 49 57.4 1.052097  0.357944 100.787062573842  -9.8637124  49.2545 /L   0.4253
 2019-Feb-20 19:22 *   18 54 26.51 -08 49 57.4 1.052160  0.357949 100.787058617923  -9.8635949  49.2552 /L   0.4253
 2019-Feb-20 19:23 *   18 54 26.52 -08 49 57.4 1.052224  0.357953 100.787054662049  -9.8634841  49.2558 /L   0.4253
 2019-Feb-20 19:24 *   18 54 26.52 -08 49 57.4 1.052287  0.357957 100.787050706218  -9.8633801  49.2565 /L   0.4253
 2019-Feb-20 19:25 *   18 54 26.52 -08 49 57.4 1.052351  0.357961 100.787046750427  -9.8632827  49.2571 /L   0.4253
 2019-Feb-20 19:26 *   18 54 26.52 -08 49 57.4 1.052414  0.357965 100.787042794675  -9.8631922  49.2578 /L   0.4253
 2019-Feb-20 19:27 *   18 54 26.52 -08 49 57.4 1.052478  0.357969 100.787038838957  -9.8631083  49.2584 /L   0.4253
