*******************************************************************************
Ephemeris / WWW_USER Tue Feb 19 21:49:09 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1}
Center body name: Earth (399)                     {source: Voyager_1}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Feb-20 19:15:00.0000 UT      
Stop  time      : A.D. 2019-Feb-21 07:15:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_1}
Rel. light bend : Sun, EARTH                      {source: Voyager_1}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190218.p190512                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-FEB-18. PREDICTS-> 2019-MAY-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Feb-20 19:15 *   17 14 28.40 +12 06 18.7 0.372017  0.541268 145.002136515626  -6.4882595  77.9374 /L   0.3818
 2019-Feb-20 19:16 *s  17 14 28.40 +12 06 18.7 0.372059  0.541273 145.002133913420  -6.4886225  77.9380 /L   0.3818
 2019-Feb-20 19:17 *   17 14 28.40 +12 06 18.7 0.372101  0.541278 145.002131311067  -6.4889923  77.9386 /L   0.3818
 2019-Feb-20 19:18 *   17 14 28.40 +12 06 18.7 0.372143  0.541284 145.002128708565  -6.4893687  77.9391 /L   0.3818
 2019-Feb-20 19:19 *   17 14 28.40 +12 06 18.7 0.372185  0.541289 145.002126105910  -6.4897519  77.9397 /L   0.3818
 2019-Feb-20 19:20 *   17 14 28.40 +12 06 18.7 0.372227  0.541294 145.002123503100  -6.4901417  77.9402 /L   0.3818
 2019-Feb-20 19:21 *   17 14 28.40 +12 06 18.8 0.372268  0.541299 145.002120900133  -6.4905382  77.9408 /L   0.3818
 2019-Feb-20 19:22 *   17 14 28.40 +12 06 18.8 0.372310  0.541305 145.002118297005  -6.4909414  77.9414 /L   0.3818
 2019-Feb-20 19:23 *   17 14 28.40 +12 06 18.8 0.372352  0.541310 145.002115693714  -6.4913513  77.9419 /L   0.3818
 2019-Feb-20 19:24 *   17 14 28.40 +12 06 18.8 0.372393  0.541316 145.002113090258  -6.4917678  77.9425 /L   0.3818
 2019-Feb-20 19:25 *   17 14 28.40 +12 06 18.8 0.372435  0.541321 145.002110486633  -6.4921910  77.9430 /L   0.3818
 2019-Feb-20 19:26 *   17 14 28.40 +12 06 18.8 0.372476  0.541327 145.002107882837  -6.4926209  77.9436 /L   0.3818
 2019-Feb-20 19:27 *   17 14 28.40 +12 06 18.8 0.372518  0.541332 145.002105278868  -6.4930573  77.9441 /L   0.3818
