*******************************************************************************
Ephemeris / WWW_USER Thu Mar  7 10:10:32 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hayabusa 2 (spacecraft) (-37)   {source: hayabusa-2_merged}
Center body name: Earth (399)                     {source: hayabusa-2_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-07 12:30:00.0000 UT      
Stop  time      : A.D. 2019-Mar-07 18:30:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: hayabusa-2_merged}
Rel. light bend : Sun, EARTH                      {source: hayabusa-2_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190306.p190528                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-06. PREDICTS-> 2019-MAY-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-07 12:30 *   21 33 50.90 -11 21 58.3 103.6312  38.93686 2.23302431561992  -7.4320145  24.4829 /L  17.1818
 2019-Mar-07 12:31 *m  21 33 51.02 -11 21 57.6 103.6284  38.93753 2.23302133505584  -7.4310894  24.4831 /L  17.1820
 2019-Mar-07 12:32 *m  21 33 51.14 -11 21 57.0 103.6257  38.93820 2.23301835486384  -7.4301591  24.4833 /L  17.1821
 2019-Mar-07 12:33 *m  21 33 51.25 -11 21 56.4 103.6229  38.93887 2.23301537504603  -7.4292235  24.4835 /L  17.1822
 2019-Mar-07 12:34 *m  21 33 51.37 -11 21 55.7 103.6202  38.93955 2.23301239560451  -7.4282826  24.4836 /L  17.1824
 2019-Mar-07 12:35 *m  21 33 51.49 -11 21 55.1 103.6175  38.94022 2.23300941654138  -7.4273365  24.4838 /L  17.1825
 2019-Mar-07 12:36 *m  21 33 51.61 -11 21 54.4 103.6148  38.94090 2.23300643785874  -7.4263853  24.4840 /L  17.1826
 2019-Mar-07 12:37 *m  21 33 51.72 -11 21 53.8 103.6121  38.94159 2.23300345955868  -7.4254288  24.4842 /L  17.1828
 2019-Mar-07 12:38 *m  21 33 51.84 -11 21 53.1 103.6094  38.94227 2.23300048164327  -7.4244671  24.4844 /L  17.1829
 2019-Mar-07 12:39 *m  21 33 51.96 -11 21 52.5 103.6067  38.94296 2.23299750411457  -7.4235003  24.4845 /L  17.1830
 2019-Mar-07 12:40 *m  21 33 52.08 -11 21 51.8 103.6041  38.94365 2.23299452697467  -7.4225284  24.4847 /L  17.1832
 2019-Mar-07 12:41 *m  21 33 52.19 -11 21 51.2 103.6014  38.94434 2.23299155022559  -7.4215514  24.4849 /L  17.1833
