*******************************************************************************
Ephemeris / WWW_USER Thu Mar  7 10:13:09 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: SpaceX Roadster (spacecraft) (-143205) {source: tesla_s10}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-07 12:30:00.0000 UT      
Stop  time      : A.D. 2019-Mar-07 18:30:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190306.p190528                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-06. PREDICTS-> 2019-MAY-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-07 12:30 *   23 50 43.10 -00 28 34.6 94.83109  41.59473 2.43795823804040  -2.2483184  11.3072 /T   7.5667
 2019-Mar-07 12:31 *m  23 50 43.20 -00 28 33.9 94.82801  41.59482 2.43795733627898  -2.2482769  11.3069 /T   7.5666
 2019-Mar-07 12:32 *m  23 50 43.31 -00 28 33.2 94.82493  41.59490 2.43795643453559  -2.2482284  11.3067 /T   7.5664
 2019-Mar-07 12:33 *m  23 50 43.41 -00 28 32.5 94.82185  41.59498 2.43795553281302  -2.2481731  11.3065 /T   7.5663
 2019-Mar-07 12:34 *m  23 50 43.52 -00 28 31.8 94.81877  41.59506 2.43795463111404  -2.2481108  11.3063 /T   7.5662
 2019-Mar-07 12:35 *m  23 50 43.62 -00 28 31.2 94.81570  41.59514 2.43795372944142  -2.2480416  11.3061 /T   7.5660
 2019-Mar-07 12:36 *m  23 50 43.73 -00 28 30.5 94.81262  41.59522 2.43795282779794  -2.2479655  11.3059 /T   7.5659
 2019-Mar-07 12:37 *m  23 50 43.83 -00 28 29.8 94.80955  41.59531 2.43795192618637  -2.2478825  11.3057 /T   7.5658
 2019-Mar-07 12:38 *m  23 50 43.94 -00 28 29.1 94.80648  41.59539 2.43795102460947  -2.2477926  11.3055 /T   7.5657
 2019-Mar-07 12:39 *m  23 50 44.04 -00 28 28.4 94.80341  41.59547 2.43795012307002  -2.2476958  11.3052 /T   7.5655
 2019-Mar-07 12:40 *m  23 50 44.15 -00 28 27.7 94.80035  41.59555 2.43794922157079  -2.2475921  11.3050 /T   7.5654
 2019-Mar-07 12:41 *m  23 50 44.25 -00 28 27.0 94.79728  41.59564 2.43794832011452  -2.2474815  11.3048 /T   7.5653
