*******************************************************************************
Ephemeris / WWW_USER Wed Mar 27 21:54:47 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hayabusa 2 (spacecraft) (-37)   {source: hayabusa-2_merged}
Center body name: Earth (399)                     {source: hayabusa-2_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-28 15:00:00.0000 UT      
Stop  time      : A.D. 2019-Mar-29 03:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: hayabusa-2_merged}
Rel. light bend : Sun, EARTH                      {source: hayabusa-2_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190327.p190618                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-27. PREDICTS-> 2019-JUN-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-28 15:00 *m  22 33 15.65 -05 26 29.7 104.0787  44.98636 2.13684274207406  -8.5751647  29.6390 /L  21.2477
 2019-Mar-28 15:01 *m  22 33 15.76 -05 26 29.0 104.0782  44.98686 2.13683930316026  -8.5736321  29.6391 /L  21.2478
 2019-Mar-28 15:02 *m  22 33 15.88 -05 26 28.2 104.0778  44.98737 2.13683586486133  -8.5720986  29.6393 /L  21.2480
 2019-Mar-28 15:03 *m  22 33 15.99 -05 26 27.5 104.0774  44.98787 2.13683242717760  -8.5705642  29.6395 /L  21.2481
 2019-Mar-28 15:04 *m  22 33 16.11 -05 26 26.7 104.0771  44.98837 2.13682899010943  -8.5690291  29.6396 /L  21.2482
 2019-Mar-28 15:05 *m  22 33 16.23 -05 26 26.0 104.0767  44.98888 2.13682555365713  -8.5674931  29.6398 /L  21.2484
 2019-Mar-28 15:06 *m  22 33 16.34 -05 26 25.2 104.0764  44.98938 2.13682211782103  -8.5659563  29.6399 /L  21.2485
 2019-Mar-28 15:07 *m  22 33 16.46 -05 26 24.5 104.0760  44.98988 2.13681868260143  -8.5644188  29.6401 /L  21.2486
 2019-Mar-28 15:08 *m  22 33 16.58 -05 26 23.7 104.0757  44.99039 2.13681524799862  -8.5628805  29.6402 /L  21.2487
 2019-Mar-28 15:09 *m  22 33 16.69 -05 26 23.0 104.0754  44.99089 2.13681181401289  -8.5613416  29.6404 /L  21.2489
 2019-Mar-28 15:10 *m  22 33 16.81 -05 26 22.2 104.0751  44.99139 2.13680838064449  -8.5598021  29.6405 /L  21.2490
 2019-Mar-28 15:11 *m  22 33 16.92 -05 26 21.5 104.0749  44.99190 2.13680494789370  -8.5582619  29.6407 /L  21.2491
