*******************************************************************************
Ephemeris / WWW_USER Wed Mar 27 21:57:37 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: SpaceX Roadster (spacecraft) (-143205) {source: tesla_s10}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-28 15:00:00.0000 UT      
Stop  time      : A.D. 2019-Mar-29 03:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190327.p190618                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-27. PREDICTS-> 2019-JUN-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-28 15:00 *m  00 45 37.69 +05 29 25.3 99.80129  42.88283 2.39942502995050  -4.5491702   5.2769 /T   3.7374
 2019-Mar-28 15:01 *m  00 45 37.80 +05 29 26.0 99.79936  42.88260 2.39942320557189  -4.5480382   5.2768 /T   3.7373
 2019-Mar-28 15:02 *m  00 45 37.91 +05 29 26.7 99.79745  42.88236 2.39942138164823  -4.5469016   5.2766 /T   3.7372
 2019-Mar-28 15:03 *m  00 45 38.02 +05 29 27.4 99.79555  42.88213 2.39941955818131  -4.5457606   5.2764 /T   3.7371
 2019-Mar-28 15:04 *m  00 45 38.13 +05 29 28.1 99.79366  42.88189 2.39941773517290  -4.5446152   5.2762 /T   3.7370
 2019-Mar-28 15:05 *m  00 45 38.25 +05 29 28.8 99.79178  42.88165 2.39941591262481  -4.5434654   5.2761 /T   3.7369
 2019-Mar-28 15:06 *m  00 45 38.36 +05 29 29.5 99.78991  42.88141 2.39941409053878  -4.5423111   5.2759 /T   3.7367
 2019-Mar-28 15:07 *m  00 45 38.47 +05 29 30.3 99.78806  42.88117 2.39941226891659  -4.5411525   5.2757 /T   3.7366
 2019-Mar-28 15:08 *m  00 45 38.58 +05 29 31.0 99.78621  42.88093 2.39941044775998  -4.5399895   5.2755 /T   3.7365
 2019-Mar-28 15:09 *m  00 45 38.69 +05 29 31.7 99.78438  42.88068 2.39940862707068  -4.5388222   5.2754 /T   3.7364
 2019-Mar-28 15:10 *m  00 45 38.80 +05 29 32.4 99.78256  42.88044 2.39940680685044  -4.5376506   5.2752 /T   3.7363
 2019-Mar-28 15:11 *m  00 45 38.91 +05 29 33.1 99.78075  42.88020 2.39940498710097  -4.5364747   5.2750 /T   3.7361
